Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
349,1,1,1,8.5,0,0,107.85,-0.0144,6.8196,1.4273
350,1,1,1,11.4,0,0,136.36,-0.0141,4.3080,1.4112
351,1,1,1,9.9,0,0,130.94,-0.0141,4.3080,1.4112
352,1,1,1,9.6,0,0,157.67,-0.0141,4.3080,1.4112
353,1,1,1,11.5,0,0,144.36,-0.0145,5.9035,1.4191
354,1,1,1,9.0,0,0,152.99,-0.0145,5.9035,1.4191
355,1,1,1,10.1,0,0,154.57,-0.0145,5.9035,1.4191
356,1,1,1,10.0,0,0,146.73,-0.0143,5.5644,1.4140
357,1,1,1,9.4,0,0,160.25,-0.0143,5.5644,1.4140
358,1,1,1,9.6,0,0,130.82,-0.0143,5.5644,1.4140
359,1,1,1,9.1,0,0,158.94,-0.0142,5.2545,1.4127
360,1,1,1,11.0,0,0,126.97,-0.0142,5.2545,1.4127
361,1,1,1,11.4,0,0,116.11,-0.0142,5.2545,1.4127
362,1,1,1,9.8,0,0,162.93,-0.0141,5.0866,1.4061
363,1,1,1,9.5,0,0,141.51,-0.0141,5.0866,1.4061
364,1,1,1,9.0,0,0,146.01,-0.0141,5.0866,1.4061
365,1,1,1,9.8,0,0,125.52,-0.0141,5.4434,1.4024
366,1,1,1,9.8,0,0,143.61,-0.0141,5.4434,1.4024
367,1,1,1,9.9,0,0,170.14,-0.0141,5.4434,1.4024
368,1,1,1,10.4,0,0,158.99,-0.0142,6.2305,1.4039
369,1,1,1,12.2,0,0,169.17,-0.0142,6.2305,1.4039
370,1,1,1,8.2,0,0,160.44,-0.0142,6.2305,1.4039
371,1,1,1,10.9,0,0,174.00,-0.0142,6.0141,1.4045
372,1,1,1,9.2,0,0,147.48,-0.0142,6.0141,1.4045
373,1,1,1,9.9,0,0,149.64,-0.0142,6.0141,1.4045
